track_id,playlist_id,artist,album,track_name,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
2TSfStvlAMLw89u3tali79,37i9dQZF1DX0XUsuxWHRQd,Nardo Wick,Who is Nardo Wick?? (Deluxe),Dah Dah DahDah,0.66,0.373,11,-10.234,1,0.595,0,0.106,0.35,167.912,151776,4,florida rap
6I5DkMtgMjN6k270nRwNEl,37i9dQZF1DX0XUsuxWHRQd,DaBaby,WAITRESS,WAITRESS,0.83,0.727,1,-5.338,1,0.0894,0,0.251,0.247,145.901,132018,4,north carolina hip hop
5RtOqP26S4KrWexNolBaQc,37i9dQZF1DX0XUsuxWHRQd,Key Glock,From Nothing,From Nothing,0.821,0.716,9,-6.514,1,0.301,0,0.154,0.529,125.005,169307,4,hip hop
67QVeMvttYHbB1Zuvh0cn6,37i9dQZF1DX0XUsuxWHRQd,DJ Khaled,GOD DID,LET'S PRAY (feat. Don Toliver & Travis Scott),0.62,0.753,1,-7.203,1,0.0424,9.4e-06,0.111,0.0711,156.933,158979,4,hip hop
3F5CgOj3wFlRv51JsHbxhe,37i9dQZF1DX0XUsuxWHRQd,Drake,"Honestly, Nevermind",Jimmy Cooks (feat. 21 Savage),0.529,0.673,0,-4.711,1,0.175,2.41e-06,0.093,0.366,165.921,218365,4,canadian hip hop
6pr7X9UZCDn8CruopaNVha,37i9dQZF1DX0XUsuxWHRQd,DJ Khaled,GOD DID,BIG TIME (feat. Future & Lil Baby),0.496,0.7,1,-5.199,0,0.284,0,0.103,0.464,107.711,173783,3,hip hop
2BJWxD8xKrDv8vneTvTIm9,37i9dQZF1DX0XUsuxWHRQd,Lil Tjay,Beat the Odds,Beat the Odds,0.498,0.625,8,-7.452,0,0.342,0,0.175,0.478,84.821,150000,4,brooklyn drill
6x3gud5JkOSGYJpRUYN1Gg,37i9dQZF1DX0XUsuxWHRQd,Quavo,Us vs. Them (feat. Gucci Mane),Us vs. Them (feat. Gucci Mane),0.726,0.508,1,-7.67,1,0.0869,0,0.204,0.173,149.979,216013,4,atl hip hop
2mzlyJ8Gb8cFMJvfENKnJQ,37i9dQZF1DX0XUsuxWHRQd,Lil Tecca,Treesha,Treesha,0.545,0.545,2,-8.631,1,0.301,0,0.121,0.122,163.847,105693,4,melodic rap
02Cj2MSlERvamTj5A7Zi0P,37i9dQZF1DX0XUsuxWHRQd,YoungBoy Never Broke Again,Vette Motors,Vette Motors,0.83,0.644,10,-5.431,0,0.407,0,0.11,0.227,155.103,173419,4,baton rouge rap
0QNNd0qMCDbraS1nQPg3aA,37i9dQZF1DX0XUsuxWHRQd,Quavo,HOTEL LOBBY (Unc & Phew),HOTEL LOBBY (Unc & Phew),0.821,0.636,11,-4.479,1,0.169,0,0.233,0.163,127.961,142657,4,atl hip hop
7pZeacKYnK4unCplCmI2qb,37i9dQZF1DX0XUsuxWHRQd,Freddie Gibbs,Too Much (feat. Moneybagg Yo),Too Much (feat. Moneybagg Yo),0.799,0.696,1,-6.621,1,0.134,2.46e-06,0.133,0.414,115.067,188870,4,alternative hip hop
0b7UwotRCrS7qBoLDjfvSY,37i9dQZF1DX0XUsuxWHRQd,Lil Baby,U-Digg (feat. 42 Dugg & Veeze),U-Digg (feat. 42 Dugg & Veeze),0.824,0.583,1,-6.537,1,0.147,0,0.266,0.154,147.496,235501,4,atl hip hop
6HW0HSK7j7FHeFlxqNdKR4,37i9dQZF1DX0XUsuxWHRQd,Kodak Black,Haitian Scarface,Haitian Scarface,0.569,0.459,1,-6.354,0,0.355,0,0.168,0.0649,107.253,145245,5,florida rap
0ypjMI7vHiDP4sLB1C0Qna,37i9dQZF1DX0XUsuxWHRQd,Yeat,Talk,Talk,0.698,0.763,4,-4.718,0,0.229,0,0.54,0.256,139.998,174857,4,pluggnb
